               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.019906,             0.01706,           0.0037495,             0.67741,             0.56946,             0.59336,             0.43954,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  58,            0.019446,            0.017404,           0.0038943,             0.63433,             0.60815,             0.58951,             0.44735,                 nan,                 nan,                 nan,            0.004357,            0.004357,            0.004357
                  59,            0.018418,            0.015287,           0.0037889,             0.67111,             0.53633,             0.55709,             0.41217,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                  60,            0.018739,            0.016285,            0.004704,             0.70111,             0.56955,             0.59245,             0.45589,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                  61,            0.018196,            0.015775,           0.0040465,             0.69548,              0.5675,             0.59112,              0.4601,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  62,            0.017731,            0.016286,           0.0045472,             0.68829,             0.55475,             0.57288,             0.44612,                 nan,                 nan,                 nan,            0.003961,            0.003961,            0.003961
                  63,            0.017809,            0.016063,            0.003531,             0.68334,             0.56375,             0.57387,             0.43843,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  64,            0.017958,            0.015801,           0.0042008,             0.71164,             0.55669,             0.59259,             0.46513,                 nan,                 nan,                 nan,            0.003763,            0.003763,            0.003763
                  65,            0.018568,            0.016419,           0.0044746,             0.65015,              0.6077,             0.59029,             0.45956,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  66,            0.017595,            0.015336,           0.0030314,             0.68159,             0.59132,             0.59509,              0.4519,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  67,            0.017887,            0.015559,           0.0031235,             0.68784,              0.6022,             0.59447,             0.45064,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  68,            0.017508,            0.015125,           0.0040995,             0.70631,             0.56265,             0.59916,             0.45328,                 nan,                 nan,                 nan,            0.003367,            0.003367,            0.003367
                  69,            0.017774,            0.015204,           0.0036777,             0.67626,             0.60248,             0.59368,              0.4539,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  70,            0.016884,            0.015359,           0.0035288,             0.72904,             0.57502,             0.60006,             0.44606,                 nan,                 nan,                 nan,            0.003169,            0.003169,            0.003169
                  71,             0.01693,            0.015086,             0.00349,             0.73412,             0.57109,             0.59823,             0.44656,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  72,            0.017204,            0.015042,           0.0025601,             0.73762,             0.56015,             0.60313,             0.46122,                 nan,                 nan,                 nan,            0.002971,            0.002971,            0.002971
                  73,            0.016472,             0.01399,           0.0032572,             0.71302,              0.5768,             0.58555,             0.43852,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  74,             0.01688,            0.014847,           0.0042009,             0.68929,             0.58364,             0.60114,             0.47113,                 nan,                 nan,                 nan,            0.002773,            0.002773,            0.002773
                  75,            0.017196,            0.015341,           0.0031874,             0.72102,             0.55268,             0.58718,             0.45244,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  76,            0.016354,            0.014818,           0.0030216,             0.70069,             0.57612,             0.59177,             0.45791,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  77,            0.017599,            0.015179,           0.0033877,             0.71116,             0.59468,             0.59393,             0.45322,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  78,            0.016288,            0.014264,           0.0039119,             0.73759,             0.56992,             0.60695,             0.47874,                 nan,                 nan,                 nan,            0.002377,            0.002377,            0.002377
                  79,            0.016736,            0.014518,           0.0035645,             0.72451,             0.58387,             0.60466,              0.4802,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  80,            0.016156,            0.013941,            0.002905,             0.68252,             0.61348,             0.60373,              0.4712,                 nan,                 nan,                 nan,            0.002179,            0.002179,            0.002179
                  81,            0.014953,            0.014056,           0.0025161,             0.75089,             0.57762,             0.61364,             0.47111,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  82,            0.016028,            0.013737,            0.002342,             0.72931,             0.57874,             0.60193,             0.46808,                 nan,                 nan,                 nan,            0.001981,            0.001981,            0.001981
                  83,            0.015464,            0.013635,           0.0024291,             0.75529,             0.57164,             0.61061,             0.47655,                 nan,                 nan,                 nan,            0.001882,            0.001882,            0.001882
                  84,            0.015294,            0.013621,           0.0025674,              0.7227,             0.59232,             0.59808,             0.46409,                 nan,                 nan,                 nan,            0.001783,            0.001783,            0.001783
                  85,            0.015482,            0.013169,           0.0031836,             0.75275,             0.56733,             0.59525,             0.46219,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  86,            0.015332,            0.013495,           0.0024831,              0.6966,             0.60948,             0.60572,             0.47685,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                  87,            0.016002,            0.013287,           0.0024999,             0.72849,             0.58285,             0.59629,             0.46938,                 nan,                 nan,                 nan,            0.001486,            0.001486,            0.001486
                  88,            0.014801,            0.013273,           0.0024223,             0.76468,             0.59651,             0.60961,             0.47229,                 nan,                 nan,                 nan,            0.001387,            0.001387,            0.001387
                  89,            0.014637,            0.013989,            0.002502,             0.72325,             0.60178,              0.6144,             0.48015,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
